amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,700",Opal needs our help,U.S. Dollar,"Jun 23, 2019",of $20k goal,21,"Hello, family and friends. This is Sonia and my mom Opal needs our
  help. She has asked me to help her raise money as her medical expenses
  and medication expenses have wiped us out.  As most of you know she is
  fighting cancer and the financial burden is real. My sweet mom is 79
  years young and has been through so much. On top of all this , she has
  lost her home. She sold her household items trying to hold on to her
  house and pay for medical bills, but it wasn't enough to keep the bank
  away. She's asked me to help her with her mounting medical expenses. 
  Please, help ease our financial pressure, so she can concentrate on
  herself and getting well. Thank you and God bless us all.",https://fundrazr.com/51VZgc
"15,194",Help Rich Reach the Finish Line,U.S. Dollar,,of $25k goal,104,"**Please note: Medical bills have already depleted the $12,369 that
  was raised over the past 4 years. ** In December of 2018, Rich learned that his Mantle Cell Lymphoma had
  returned. It was hard to receive this news before Christmas, but love
  for his family compelled him to continue his journey to being
  cancer-free. In January he began a 3 month treatment of Venetoclax,
  hoping the drug that worked so powerfully 2 years ago would bring him
  into remission again. Instead, his disease spread exponentially. While still mid-course in the Venetoclax treatment, we
  discovered that I, Rich’s sister, Janice, am a perfect 10/10 match for
  an allogenic stem cell transplant! A matched sibling donor is
  considered the “gold standard” for successful stem cell transplants.
  The answer to our prayers came at the perfect time! An allogenic stem
  cell transplant is the only potentially curative therapy for MCL On April 19, Rich began his 5th course of treatment in his 4 year
  cancer marathon. We are beyond thankful that he is now in remission
  and on track for an allogenic transplant at the end of June. After the
  transplant, Rich is not expected to be discharged back to his home
  until the end of September. Medical, lodging and transportation costs
  will total approximately $12,000. Would you please help Rich reach the finish line with your prayers
  and financial assistance?",https://fundrazr.com/dta2e
981,"Learning to Walk, Again! OUR FIGHT FOR LIFE!",U.S. Dollar,,of $8k goal,18,"December 1, 2012 ( World Aids Day) 終わりました。自分自身は２０年日本の皆様のためにHIVやAIDSについて必要な情報を腹をくくって全国走りまくったが。。。モ！GIVE UP! 皆聞いてないみたい！だって、日本でAIDSが増え続けてる一方！ ＊セックスゼロ世界にならないかぎり、HIVは自然に増えるけれど先進国の中で唯一AIDSが増えているのは日本だけです。 皆HIV検査しない！定期的に受けないといけないのに。。。貴方は検査した事あります？日本の全人口の１−３％しか検査経験ない、なおかつ主に妊婦さんか手術受ける方です。 アメリカの全人口の５１％が定期的に検査受けてます。 その日本だからこそ、”いきなりエイズ”って日本ならではの言い方がある。 ＊日本には世界トップレベルの治療が出来るのに入院３日後にエイズで亡くなる話は今でもある。 皆のHIV・AIDSの意識も知識も増えてない！HIVとAIDSの違いはなんですかって聞かれたら、自信を持って答える事できますか？ Q？WHAT ELSE CAN I DO TO MAKE CHANGE HAPPEN????!!!!! 自分が生まれた国ではないのに、何でこんなにバカみたいに頑張れたのだろう？自分で選んだ国だからだ！ 人生の一番大切なはずの""LAST YEARS""を向かうところの俺はもう限界！すでに死んでるはずだったのにまだまだ、ってか今になって脳が開き天才的な才能が現れた気がする！次の世に行ける前に終わらない事はいくつかある。ところで、困ってます。体はボロボロ！心の中空っぽ！仕事もお金も無く、少人数からの助けでまだご飯は食べてますけれど、まだまだ足りません！ 俺はこの地球に残さないといけない物があります！もしこの２０年の俺が流した汗、涙と血が無駄ではなかったら今こそ見せて下さい。もし無駄だったら、大丈夫だ！ 最終的に俺は勝手に生きるし、勝手に死ぬから。。。 ともかく、誰に何を言われようが俺は人間の為にこの地球を変えさせていただきます。 参加しませんか？ JOIN IN （・）JOY OUT J Patrick Bommarito 12/04/12 PATRICK & YAMATO Rescue Mission パトリック＆ヤマト レスキュー・ミッション 関わっていた事業が頓挫し、現在収入がありません。AIDS/ADHD/MSRA + 膝と首の関節を痛め歩行に杖が必要なほどで、外に出て働くことが難しい状態です。また、精神的にふさぎ込んでもいたのですが、次の一歩を踏み出すためにこのプロジェクトを立ち上げたという事ですが.... NEVER GIVE UP, NEVER GIVE IN! Tokyo Creator/Artist Author/Activist team Zero Cash and Homeless soon.We are sick from AIDS, Depression, ADHD, MSRA, Leg and neck damage. Immediate needs: Back rent for 4 Months RentFunds for Food, Utilites and basic house hold goods for the next 2 months. Short term needs:Funds to find and relocate.Pay medical, legal and other fees.Long Term needs include paying off all Debts and starting an NPO to help people like ourselves.",https://fundrazr.com/bMrnd
"33,799",Hannah's Heroes,U.S. Dollar,,of $177k goal,589,"Our daughter Hannah was born with 2 very rare diseases 1 called C.A.H
  and the other called Spinal Muscular Atrophy, which works to rob her
  of her ability to move, breath and, eventually, live. There is a drug
  that can stop this disease. It has just approved it. But accessing it
  costs $177,000, and the process of our drug plan won’t be ready for
  another year. That’s a year that our little girl can’t afford to wait.
  It would be a year of vulnerability and loss. But with your
  help, we believe we can turn it into a year of miracles! Let me
  tell you the rest of our story. Spinal Muscular Atrophy (SMA) has
  become our daily life. It’s the genetic condition most likely to kill
  children under six years of age, and our daughter has it. It’s a
  progressive lower motor neuron disease, that is loosely paralleled to
  adult ALS. But there are significant differences: most notably, SMA
  never affects cognition, so our daughter is as bright and keen as any
  other child her age. At 14 months, Hannah took her first 3 steps. She has never walked
  since then. After those first steps, she lost any strength to walk,
  then strength to pull up to stand, and then the strength to crawl. She
  can barely get from a lying position to a sitting position. Hannah is
  our mature little scholar! But she is completely dependant on us for
  dressing, toileting, and getting her in her wheelchair.But those
  things aren’t the worst. She is at an extreme risk of respiratory
  failure. Every single simple cold/viral infection is a threat. At
  least three times a year these infections strike hard enough to send
  her to the hospital. As a parent, I weep and get nauseous just
  thinking about this. I don’t want to think about what the next year
  could hold for her. But the amazing thing is that it doesn’t have
  to be that kind of year for our little girl. For over two decades
  the gene responsible for SMA has been known but there has not been a
  single available treatment. This past summer the first drug in history
  to specifically treat SMA was approved ! It is called Spinraza
  (Nusinersen). It can completely halt SMA in its path and even lead to
  some GAIN in muscle strength! This drug truly is a miracle, and
  we need our daughter on it as soon as possible. Though it’s
  approved Spinraza won’t be available on our drug plans for another
  year. It costs $177,000 to provide a year’s supply for Hannah 3 vials
  . The manufacturer, Biogen, will sell it directly to families willing
  to pay for it. This treatment WILL stop Hannah's respiratory deterioration, keep her
  hands strong, and prevent future problems in her spine that would
  require surgery.And we don’t even know what gains it might provide.
  Instead of a year of atrophy it can become a year of miracles! But we
  need your help. We do everything we can for our little girl but we
  can’t do this alone. We need to raise $177,000. Please join us
  on our journey and help to make this a year of miracles for Hannah",https://fundrazr.com/HannahsHeroes
140,Help Mel's Road to Recovery,U.S. Dollar,"Nov 30, 2019",of $18k goal,3,"My name is Melanie and THANK YOU for visiting my page! I am raising
  money to alleviate a portion of the financial stress that comes with
  having thousands of dollars worth of medical debt as a college student. In 2015, I was diagnosed with an eating disorder which has been with
  me since 2008. Eating disorders affect over 30 million people in the
  United States, and after a long period of denial, I recognize that I
  am one of those people, and that my life is at stake if I continue.
  Starting with the diagnosis in 2015, I have begun to seek recovery. Unfortunately, my first stay in residential treatment was not as
  effective as I'd hoped, in part because it was cut short due to
  financial stress and lack of adequate insurance coverage. Though there
  have been periods of decreased symptom-use while seeing an outpatient
  therapist, my health has continued to decline as symptoms have
  continued, especially with new stresses being introduced without the
  tools to manage depression and anxiety symptoms. This time around, things are vastly different. I've grown a lot, been able to keep a job as a Nurse's Aid where I
  love taking care of the elders and bonding with them. However, I've
  had to step away from that for the time being in order to give
  recovery a real chance, so that I can not only be out of the woods
  medically, but move on to the rest of my life as a healthy individual
  with a healthy relationship with others, starting with myself. As of Monday, June 10th, I will be admitted to Magnolia Creek's
  residential program just outside Birmingham, Alabama.  I know that I
  need this level of care to get myself to a healthy place, whatever the
  cost. However, it is not a cheap decision. Any help whether in prayers
  or in finances would be graciously received. I've been blessed with amazing, encouraging friends and coworkers as
  well as an adorable, faithful dog. If you would consider even giving a
  small contribution to this cause, my appreciation would be
  unfathomable, and you would quite literally be my hero. I thank you in
  advance for your kindness and generosity, and may God bless.",https://fundrazr.com/melsroadtorecovery
"4,117","1PL8 4 GOOD Join a new Campaign ""Brain Food 4 NextGEN Entrepreneurs""",U.S. Dollar,,of $88.9k goal,5,"The world faces many challenges. And sometimes we feel
        helpless and hopeless in our own homes. Today, we're inviting
        you to a special campaign called 1PL84GOOD, where each day you
        can sit down and eat a sensible plant-based diet that will
        affect your health, your community, the environment and the
        future of our world. Based on the Principles of human empowerment and American
        ingenuity, WE can all start with one plate, to Be the Change we
        need. Welcome to the campaign. Try a #PlantPowered Brain Food 3 Meals a Week Share with 8 friends Version 3.21 20 May 2019 Working demonstrations of these campaigns: 1PL84Health    - Accept the # ClimateBurger2020 Challenge
    with 8 of Your friends Via http:// bit.ly/CBC2020v1 http://bit.ly/PlantPowered2020 Your contributions are most welcome as a Share through
      social media OR by claiming a Perk from the list.",https://fundrazr.com/1PL84GOOD
"8,988",Zach Branson's Medical Fundraiser,U.S. Dollar,"Jan 2, 2020",of $50k goal,72,"Zachary Branson was born with a liver disease known as biliary
  atresia. The main procedure that was performed is known as a Kasai
  portoenterostomy. This operation connects the bile drainage from the
  liver directly to the intestinal tract. Success of this procedure may
  be improved when it is done before an infant is 8 weeks old. The Kasai
  procedure is helpful because it permits bile to flow and can allow a
  child to grow and remain in fairly good health for many years. It is
  important to understand that this surgery is typically a treatment for
  and not cure of biliary atresia. Ongoing liver disease is likely to
  continue to occur even with a successful operation. Up to 80 percent
  of children who undergo the Kasai portoenterostomy will eventually
  need to have a liver transplant. Doctors warned that Zach would not
  live past the age of 2 years old. Now at 30 years old, Zach has
  surprised the medical community. He has gone through quite rough times
  in his life growing up with this disease. His mother passed away in
  2006 from liver and kidney failure due to alcoholism. Zach cannot work
  a ""normal"" job anymore due to complications that arise from
  this disease. He is currently in the process of fighting for
  disability. The application status is pending. We are asking to share
  this page with everyone you know. Encourage your loved ones and
  friends to become an organ and tissue donor. If you have been blessed
  enough in life to allow yourself to make a donation to this brave,
  strong young man it is greatly appreciated. All funds raised will be
  used for basic living and medical expenses for Zach in his time of
  need. All help is greatly appreciated. Thank you ALL. <3 The following is Zach's ""Facebook Group"" where he shares
  all kinds of information on natural health. The Files section is loaded with
  published, peer-reviewed journal articles. Liver and Biliary Atresia - Natural
    and Probiotic Treatments The following id the Biliary Atresia co-authored by Zach's kasai
  surgeon Dr. John R. Lilly. Dr. Lilly was one of a handful of doctors
  that were personally trained on the Kasai procedure by Dr. Mario Kasai himself. Biliary Atresia Registry 1976-1989",https://fundrazr.com/ZachBranson
"1,615",John And Dawn Thomas,,,,,"As most of you know, John Thomas was diagnosed with colon cancer in
  March of this year. For those of you that don’t know John, let me tell
  you a little bit about him and his family. John is married to Dawn,
  and they have 3 great kids, Mackensie (18), John Daniel(17), and
  Natalie (11). All three kids attend Ouachita Christian School where
  Dawn is an elementary school teacher. John is an occupational
  therapist and a very talented artist. Together he and Dawn own
  Frames-a-Plenty. You can find some of John’s art in arts &
  craft/trade shows throughout NELA. John is a humble, hardworking,
  kind, prideful man that I for one am happy to know. John and Dawn made the trip to MDA in Houston where he had a
  series of scans. They met with a Dr. where they were told John’s scans
  were clear, except for a spot on his liver.  He now has a schedule for
  his treatments and possibly some surgery going forward. Several people have asked how can they help. If you feel lead to help
  financially, any funds given will help to offset medical and travel
  expenses. There are several ways to do that: 1) Go to any Bancorp
  South location and deposit to acct : John Daniel Thomas, Jr. and Dawn
  Thomas Benefit Acct. 2) Click the link to use credit/debit card. Thank you for all of your love and support, and I also ask that you
  continue to pray for John. Love, Nickie Shepherd",https://fundrazr.com/41UpE1
524,The Big Sunflower Project,Pound Sterling,,of £1k goal,60,"The Big Sunflower Project has given away sunflower seeds since 2011
  to raise awareness of the rare neuromuscular condtions known as
  centronuclear and myotubular myopathy. The project aims to get as many people as possible growing
  sunflowers each year, with seeds now being sent to schools and
  nurseries, community groups, groups who work with disadvantaged
  people, hospices and youth groups to name a few, so as well as raising
  awareness of centronuclear and myotubular myopathy, the project
  supports the activities of these groups too. Further information about The Big Sunflower Project can be found below. About the project: https://thebigsunflowerproject.wordpress.com/ How it all began: https://thebigsunflowerproject.wordpress.com/how-it-all-began/ The Big Sunflower Project on Facebook: https://www.facebook.com/groups/406061643077357/ A review of The Big Sunflower Project 2018 https://thebigsunflowerproject.com/centronuclear-and-myotubular-myopathy/http://centronuclear.org.uk/theinformationpoint/newsletters/2017/2017-02/the-big-sunflower-project.html The project does not charge for seeds or postage but admin costs for
  the project are high and FundRazer is used to allow those who would
  like to make a donation to do so. In 2019 the cost of sunflower seeds came to £144.40, the cost of
  the second class large stamp which is required to post the seeds is
  79p (£294.94 was spent on postage in total) and the cost of envelopes
  was £22.35. Donations can be for as little as £1, so if you like what we do or
  have benefited from the project in some way, please consider
  supporting our work. Any funds raised via FundRazer will be used to
  cover the admin costs of the project - stamps, envelopes and sunflower
  seeds when it is not be possible to get these donated.",https://fundrazr.com/a139J1
"2,066",Please help Cherry get her freedom back,Australian Dollar,,of $19k goal,35,,https://fundrazr.com/c1PmFe
"1,330",Please Help - Leg amputation avoided yet slow healing recovery &many sideffects,U.S. Dollar,,of $14.8k goal,32,"We need urgent help - can you reach out to us? My name is Maria del
  Rocio Garcia, and I have setup this Fundrazer page for my S/O
  (Significant Other/Fiance) Thomas Ernst.  (He is German so there is a
  summary in his language below this English text) For Mexican supporters: Find a summary in Spanish
    here - En español aqui He was hospitalized with a
  aggressive tissue decaying infection in his left leg below the knee
  December 2016 with the initial diagnoses by several doctors to
  amputate the leg above the knee. Dr. Mar Chavira at Salvatierra
  hospital in La Paz did not share that opinion and initiated treatment
  and procedures to rescue the limb and avoid an pending
  amputation. The goal of this fundraising..if met...would cover
  our medical expenses incurred so far (+/-9,500,-US $) as well the cost
  of living / debt accumulated during the time of the illness and
  recovery without any income and would supply the funding required to
  find another rental moving to a better location with option to work
  for him (+/- 5500,-US $) Please read explanation in details further
  down and in the blog we have started. Basically we are not capable on our own power to leave the
  sub-average lifestyle zone we are in right now and funding would
  provide a huge help to Thomas Ernst and me assisting to restart our
  life to a ""normal"", simple lifestyle level again. This
  is basically ""our story"" in a nutshell. Please read in
  detail below and may consider making a donation to allow T.E. to get
  back to work, to manage the significant debt accumulated from his
  battle with the infection. A donation of any kind will be greatly
  appreciated and would be a huge help. Also, please feel free to
  forward on the link to anyone you think might be interested in
  supporting the cause. Please use this contact form If you have
  any questions. Otherwise, thank you for your time and consideration of
  this effort to help Thomas Ernst and
  me. --------------------------------------------------- We
  do not have a professional background to create such fundraiser pages
  as this here in the proper way and writing. My English also has
  severe flaws and I apologize for that. It is work in progress as
  we been forced to change the fundraiser platform due to the
  circumstances that prior used crowdfund Youcaring merged with GoFundMe
  and by their policy is Mexico a Non-GoFundMe supported Country
    and they will shut down. You find info on this here You can see screenshots of received donations during the past 2
  weeks here on our blog . The prior campaign did not generate any support since put online June
  2017 until Maria and a local good Samaritan, Francisco Lopez, reached
  out at the Baja Nomads forum and made the
  situation known at the beginning of May 2018. Them folks made already
  a HUGE impact on our life. Having everyday ""real"" food
  (prior eating for weeks beans & rice or Marushan), all medical
  supplies required and having made some payments to most pressing debt
  collectors, have electricity and communication secured. All this is
  already a big relieve creating some breathing space. Also here
  you find the progress in several sets of images from December 2016 on
  until August 2017 when we had to see phone with camera used. Please be
  aware - some of this images are VERY graphical and not for everybody's
  stomach to view!!! Album - Gallery until August 2017 here on Google documents . We have genuinely tried during the past 18 month to progress yet the
  combination of advancing the healing with ambulant treatment (the
  first 6 month 2-3x per week hospital visits), the cost of medication,
  medical supplies and transportation, basic cost of living - rent,
  electricity, telefon, food was in dimensions to large to cope for us.
  Ernst Thomas has no family or relatives, Maria has a small income from
  a clerical position in a hotel working night-shifts. We have sold any valuables to create funds, we have no vehicle. Ernst
  Thomas was still recovering from the impact hurricane Norbert and
  Odile created 2014. ###################################################################### German Summary - E.T. ist jederzeit bereit mit Ihnen in Deutsch zu kommunizieren und evtl. Fragen zur
  Sachlage zu beantworten! ###################################################################### Mein Name ist Maria del Rocio Garcia, und ich habe diese
    Fundrazer-Seite für meinen Verlobten Thomas Ernst
    eingerichtet. Er wurde mit einer aggressiven
    Gewebeverfall-Infektion in seinem linken Bein unterhalb des Knies im
    Dezember 2016 ins Krankenhaus eingeliefert, wobei mehrere Ärzte
    zunächst das Bein über dem Knie amputierten wollten. Dr. Mar
    Chavira vom Salvatierra-Krankenhaus in La Paz teilte diese Meinung
    nicht und leitete eine Behandlung und Verfahren ein, um das Glied zu
    retten und eine bevorstehende Amputation zu vermeiden. Das Ziel
    dieser Spendenaktion - falls wir es erreichen koennten - wäre unsere
    bisher angefallenen Arztkosten (+/- 9.500, - US $) sowie die während
    der Zeit der Krankheit akkumulierten Lebenshaltungskosten /
    -schulden und die einkommenslose Genesungzeit zu tragen und eine
    Finanzierung bereitstellen, die benötigt wird, um eine andere
    Wohngelegenheit zu finden, die zu einem besseren Standort mit der
    Möglichkeit bewegt, für ihn zu arbeiten (+/- 5500,-US $). Grundsätzlich sind wir nicht in der Lage, die
    unterdurchschnittliche Lebenstil, in der wir uns gerade befinden,
    aus eigener Kraft zu verlassen, und die Finanzierung würde Thomas
    Ernst und mir helfen, unser Leben wieder auf ein
    ""normales"", einfaches Niveau zu bringen. Dies ist im
    Grunde genommen ""unsere Geschichte"". Bitte lesen Sie
    im Detail unten und erwägen Sie möglicherweise eine Spende, um T.E.
    um wieder an die Arbeit zu gehen, um die beträchtlichen Schulden zu
    verwalten, die sich aus seinem Kampf gegen die Infektion angesammelt
    haben. Eine Spende jeglicher Art wird sehr geschätzt und wäre
    eine große Hilfe. Bitte zögern Sie auch nicht, den Link an alle
    weiterzuleiten, von denen Sie glauben, dass sie die Sache
    unterstützen könnten. Bitte benutzen Sie dieses Kontaktformular , wenn
    Sie Fragen haben. Ansonsten danke ich Ihnen für Ihre Zeit und
    Überlegung, diese Bemühungen Thomas Ernst und mir zu helfen.",https://fundrazr.com/gofundmyleg
"1,268",Bone Tumor Awareness Fund,U.S. Dollar,,of $5k goal,29,"Hello family, friends, and supporters!  I am a 33-year old survivor
  of an extremely rare bone tumor (desmoplastic fibroma), and have
  decided to embark on a journey to create more awareness and provide
  funding for more research for these rare tumors to help physicians and
  patients better understand these conditions, procedures, and treatment/recovery. I am currently recovering after undergoing a more aggressive/radical
  treatment after a 2nd recurrence of this tumor (in my right femur, as
  pictured) to replace my knee as well as half of the femur - the
  typical treatment for malignant osteasarcoma (my 5th operation in
  total).  This is pretty much a testament to how aggressive and
  grueling these tumors are, whether they are benign or not - that the
  treatment is similar or can be identical to that of a cancerous growth
  of the bone. These tumors happen in the 2nd and 3rd decades of life; therefore,
  the majority of individuals enduring this pain, multiple operations,
  and lengthy recoveries are in their childhood, teens, 20's and 30's.
   These are ages that are supposed to be the most active, fun, and
  joyful for youngsters and able-bodied people to be exercising, playing
  sports, etc.  Surgeries can be extremely invasive, painful, and
  continual. My goal is to create more awareness of these tumors that are vary
  rare (they make up approximately 2% of all tumors) and there are only
  about 120-200 orthopedic oncologists in the United States able to
  treat these rare growths.  Not to mention, in major cities and
  teaching institutions, rather than equally spread throughout - making
  it difficult for some patients to travel to see exactly who they need
  to see. I'd like to be able to create a community where survivors of
  these tumors can share their experiences with one another and provide
  support, as well as to start a fund that will benefit research toward
  a particular body of medical science that will be dedicated to
  learning more about muskuloskeletal lesions/tumors. For more information about bone tumors, please visit www.bonetumor.org . EVERY dollar counts.  Many
  perks are available to select with a donation. PLEASE like us on Facebook, www.facebook.com/bonetumorawareness, and/or
  Instagram @bonetumorawareness.  Many giveaways of great products
  relative to orthopedics and recovery occur for members of the cause! Please visit my caringbridge.org/visit/stephaniedaly page for my
    personal story, and for real-time updates of appointments,
    procedures, and recovery/treatment.",https://fundrazr.com/4khP0
270,Rachel's Surgery,U.S. Dollar,,of $500 goal,3,"Rachel is needing to have surgery on Thursday the 23rd. She needs to
  travel to Dallas, Texas for this procedure. Any and all assistance is appreciated.",https://fundrazr.com/91VPK2
515,Nakula (Neo) In need of urgent medical help for PTSD!,U.S. Dollar,,of $1.8k goal,9,"Nakula (Neo) celebrated his 22nd Birthday! On April 29th, 2019! He woke up early that morning and I showed him all the
    donations that he had received from all over the world and he just
    could not believe the support he was receiving! Thanks so much, to everyone who has come forward so far to
    make life more wonderful for Nakula. Nakulas Story He has been suffering from severe PTSD for the past few years
    and he has just recently started taking high-quality CBD, and
    medications. He is receiving Hypnotherapy and professional medical
    attention and his condition is improving, yet in order for him to
    continue receiving the care he needs and
    professional psychological counseling on a consistent basis, we will
    need some help financially to cover all his medical expenses! He has started seeing a psychologist once a week in his house
    for PTSD symptoms which are pretty severe, because he could not make
    it into town for weekly visits, a house has been set up for him in
    the countryside where he has a volunteer working and living with him
    full time that is similar to a big brother mentoring situation. He is in desperate need of consistent mental health care and
    engaging in activities with kind-hearted people encouraging him in
    his healing process, step by step progress is being made. At this time it is difficult for him to leave the house so he
    gets isolated, he tends to get paranoid, depressed and fearful, then
    he doesn't want to leave the house. All the costs involved in his care are a bit difficult to
    manage, so we have decided to reach out and ask for help for him,
    and hope that collectively we can pull together and help him out so
    he can get the medical attention he needs to get better and thrive
    in life. How You Can Help If you want to make a donation one time or on an ongoing
    monthly basis of an amount that feels comfortable, it would be
    appreciated so very much at this time! We are aspiring to raise $300 a month on an ongoing basis or a
    total of $1800 to cover his costs for 6 months for his medication
    and in-home professional counseling costs in Costa Rica. The idea is that if everyone contributes a small amount
    monthly that this can be achieved. Monthly and one time donations can be sent on Paypal to yogaofbeauty@gmail.com If you have any questions in regards to setting up a monthly
    contribution please contact us directly at the above email address. There are also options on FundRazr to remain anonymous in
    making your donations. We kindly ask you to consider donating to help Nakula at
          this time and that we stand together as friends, and family
          near and far to help heal his PTSD. If we all give what we can and share this with our various
        friends and networks then Nakula 's healing
        journey will be made so much easier by us all joining together
        to show how much we care! Thank you all for your thoughts, prayers and generous donations...",https://fundrazr.com/71RJb6
"5,570",Vivre Pleinement avec Philip,Canadian Dollar,,of $25k goal,91,"Bienvenue a notre campagne de financement FundRazr Nous avons besoin de vous afin d’aider Philip à vivre
    pleinement et ce jusqu’a la fin. Vous pouvez aider Philip
      de plusieurs façons: - En apportant une contribution monétaire, peu importe le
    montant, afin de l’aider à rester autonome et ainsi lui donner une
    chance de surmonter la maladie, et de vivre ses rêves ; En partageant cette campagne à vos proches, ainsi que sur vos
      réseaux sociaux; En offrant votre temps et vos talents afin d'aider Philip a
      rendre ses rêves réalité. Veuillez nous écrire afin de
    savoir comment votre talent peut venir en aide; En proposant des idées de financement,
    et d'évènements; En faisant un don financier ou autre de
    la part de votre compagnie en échange de visibilité; _____________________________________________________________________ L'histoire a Philip MISE À JOUR Bonjour tout le monde, Ici Marie-anne, grande soeur a Philip. Je tiens a remercier du fond du coeur tout le monde qui ont
  participé, qui participent, et qui participeront a cette campagne de
  socio-financement. Bravo a vous tous, vous faîtes réellement une
  différence dans nos vies (surtout celle a Philip, mais aussi pour les
  gens qui l'entoure et qui s'inquiète). Près de 5,600$ ont été
  ramassé jusqu'à présent! Philip reprends du poil de la bête depuis les derniers traitement de
  chimiothérapie de cette hiver. Motivé , Philip cherche a réintégrer le
  marché du travail pour la saison estivale, afin de rester actifs et engagé. Un petit changement d'air s'impose, nous pourrons bientôt souhaiter
  la bienvenue a Philip, dans la capitale nationale ! _____________________________________________ Le 22 janvier 2019, Philip Simard-Léveillé, âgé de 21 ans, est
    diagnostiqué d’un cancer de l'hypopharynx de stade 3. Malgré la
    nouvelle, Philip garde la tête haute et les yeux pleins d’espoir; il
    est prêt à se battre. Pour ce type de cancer, les spécialistes
    estiment une durée de vie de 8 mois ainsi qu’un taux de réussite des
    traitements de chimiothérapie de 30%. Pour combattre la maladie,
    Philip a entamé ses traitements de chimiothérapie. Le type de
    traitement qu’il reçoit se fait par intraveineuse et la durée des
    traitements est de 12 heures par séance, toutes les deux semaines.
    Une fois une séance terminée, celui-ci doit immédiatement se
    retrouver en quarantaine dans un endroit aseptisé durant les 7 jours
    suivant le traitement. Suite à l’état difficile dans lequel les effets secondaires du
    traitement le laissaient, Philip a finalement pris la décision
    d’arrêter ses traitements, afin de profiter au maximum du précieux
    temps qu’il lui reste plutôt que de vivre alité et semi-conscient. Ayant perdu son travail dû au temps qu’il devait accorder à ses
    traitements et à son isolation, Philip doit toutefois continuer de
    manger et de payer son loyer et une inquiétude monétaire s’installe.
    Il est crucial pour la santé mentale de Philip de garder son
    indépendance, de rester autonome et d’avoir une vie active le plus
    longtemps possible. Une santé mentale forte est donc extrêmement
    importante afin qu’il puisse garder la tête haute. Positif, fonceur,
    travaillant, combatif et attentionné, Philip a besoin de votre aide
    afin de conserver son autonomie, mais aussi pour garder espoir. Les Fonds Les fonds que nous souhaitons recueillir pour aider Philip
    permettront de couvrir tous les besoins de base pour une période de
    12 mois: Loyer, hydro, nourriture, médicaments, déplacements,
    téléphone et Internet. Afin de conserver son autonomie ainsi qu’une
    vie active le plus longtemps possible, Philip a besoin d’amasser
    25,000$ afin de couvrir tous les frais et dépenses qui seront
    nécessaires au courant de l’année 2019. Une fois les frais de base
    couverts, Philip aura la chance de se concentrer sur sa ‘Bucket
    list’ et de vivre pleinement chaque instant. Vous pouvez aider Philip de plusieurs façons: - En apportant une contribution monétaire, peu importe le
    montant, afin de l’aider à rester autonome et ainsi lui donner une
    chance de surmonter la maladie, et de vivre ses rêves ; En partageant cette campagne à vos proches, ainsi que sur vos
      réseaux sociaux; En offrant votre temps et vos talents afin d'aider Philip a
      rendre ses rêves réalité. Veuillez nous écrire afin de
    savoir comment votre talent peut venir en aide; En proposant des idées de financement,
    et d'évènements; En faisant un don financier ou autre de
    la part de votre compagnie en échange de visibilité; _____________________________________________________________________ Joignez vous a notre équipe de support Merci pour votre support! Vous fetes maintenant partie de
    l'équipe ! S.v.p partagez afin de rendre cette campagne viral et permettre
    a Philip de vivre pleinement",https://fundrazr.com/91SnBd
"1,185",Jessica Russman's Liver Transplant And Stay Cancer Free Fund,U.S. Dollar,"Apr 11, 2020",of $20k goal,25,"Jessica and Greg Russman have approved and allowed me to run
      this campaign. All funds donated to this campaign go directly into
      Jesse and Greg's bank account only they have access to. Jessica Russman and I have been friends since we were kids.
      We are more like family. I can't remember a time when I've called
      upon her and she has not come through for me. Now SHE needs
      assistance, and I want within all my power to be at her aide. This
      one is going to take the Village though. Jesse was diagnosed with stage 3 liver cancer several months
      ago and though a successful ablation the cancer was killed, due to
      other illnesses Jesse’s liver does not regenerate. Unfortunately
      she needs a full transplant before the cancer comes back. She is
      currently on the wait list and unable to work. It takes all the
      energy she can muster to spend quality time carrying for her
      beautiful 2 year old daughter Selena. Jesse’s husband Greg is an
      amazing man and has been her rock throughout all of this while
      maintaining all the financial and household responsibilities. Needless to say the medical bills are piling up and becoming
      insurmountable. The Russman’s need help to get over this mountain
      they are about to climb? Cancer is a wicked disease that gives no
      acknowledgement to age or personal circumstance. A liver
      transplant is Jesse's only hope of survival. Jesse and Greg live 90 miles away from the nearest hospital.
      So they have to stay in a hotel with Selena when Jesse has
      treatments.  When Jesse has her transplant she will be in the
      hospital for a month and then it will take 4 to 6 months of
      recovery at home. They will need some in home care for Selena and
      Jesse so Greg can work. Greg can take a leave from work to care
      for them, but he would have to go unpaid. Any help is appreciated.",https://fundrazr.com/JesseRussman
